canonical,k,category,acat_label,accession,in_acat_female,in_acat_male,fusios_endpoint,finngen_endpoint,rhoGE_female,rhoGE_male,rg_female,rg_male
Obstructive Sleep Apnea,obstructivesleepapnea,Neuropsychiatric,Obstructive_Sleep_Apnea,GCST90475825,TRUE,TRUE,Obstructive_Sleep_Apnea,"",0.02,0.056,0.17,0.244
OpenAngle Glaucoma,openangleglaucoma,Ophthalmic,GCST90011770Open-angleglaucoma,GCST90011770,TRUE,TRUE,OpenAngle_Glaucoma,"",0.002,0.029,-0.02,0.044
Osteoarthritis,osteoarthritis,Musculoskeletal,GCST90134288.h.osteoarthritis,GCST90134288,TRUE,TRUE,Osteoarthritis,"",0.059,0.081,0.244,0.386
Osteoporosis,osteoporosis,Musculoskeletal,Osteoporosis,GCST90018887,TRUE,TRUE,Osteoporosis,M13_OSTEOPOROSIS,-0.007,-0.013,0.063,-0.096
Ovarian Cancer,ovariancancer,Cancers,ovariancancerwu,"",TRUE,FALSE,Ovarian_Cancer,"",-0.016,0.003,-0.05,-0.136
Pancreatic Cancer,pancreaticcancer,Cancers,Pancreatic_Cancer,GCST90011815,TRUE,TRUE,Pancreatic_Cancer,"",-0.019,0.003,-0.425,0.141
Panic Disorder,panicdisorder,Neuropsychiatric,Panic,"",TRUE,TRUE,Panic_Disorder,F5_PANIC,-0.005,0.016,0.056,-0.025
Parkinsons Disease,parkinsonsdisease,Neuropsychiatric,parkinson1,GCST009325,TRUE,TRUE,Parkinsons_Disease,G6_PARKINSON,-0.011,-0.031,-0.092,-0.048
Polycystic Ovary Syndrome,polycysticovarysyndrome,Reproductive,Polycystic_ovary_syndrome,GCST90454205,TRUE,FALSE,Polycystic_Ovary_Syndrome,"",-0.001,-0.014,-0.078,0.049
Preeclampsia,preeclampsia,Reproductive,Preeclampsia,GCST90269904,TRUE,FALSE,Preeclampsia,"",-0.008,-0.001,-0.05,-0.03
Primary Biliary Cirrhosis,primarybiliarycirrhosis,Immune / Inflammatory,Primary_biliary_cirrhosis,GCST90061440,TRUE,TRUE,Primary_Biliary_Cirrhosis,"",0.006,-0.006,0.029,-0.036
Prostate Cancer,prostatecancer,Cancers,GCST90274714Prostatecancer,GCST90274714,FALSE,TRUE,Prostate_Cancer,"",-0.006,0.001,-0.029,-0.026
Psoriasis,psoriasis,Immune / Inflammatory,psoriasisGCST90472771,GCST90472771,TRUE,TRUE,Psoriasis,L12_PSORIASIS,0.012,-0.015,0.05,0.068
PTSD,ptsd,Neuropsychiatric,ptsd,"",TRUE,TRUE,PTSD,"",0.02,0.018,0.219,0.127
Raynauds Disease,raynaudsdisease,Cardiovascular,Raynaud_disease,GCST90448187,TRUE,TRUE,Raynauds_Disease,"",-0.018,0.003,-0.033,0.025
Renal Cancer,renalcancer,Cancers,renalcancerwu,"",TRUE,TRUE,Renal_Cancer,"",0.001,0.032,0.07,0.089
Restless Legs Syndrome,restlesslegssyndrome,Neuropsychiatric,Restless_Legs_Syndrome,GCST90475829,TRUE,TRUE,Restless_Legs_Syndrome,"",0.008,0.031,0.07,0.147
Rheumatoid Arthritis,rheumatoidarthritis,Immune / Inflammatory,rheumatoidarthritish,GCST002318,TRUE,TRUE,Rheumatoid_Arthritis,M13_RHEUMA,-0.009,0.024,0.051,0.052
Rosacea,rosacea,Immune / Inflammatory,Rosacea,GCST90480451,TRUE,TRUE,Rosacea,"",-0.017,-0.014,-0.071,-0.034
Sarcoidosis,sarcoidosis,Immune / Inflammatory,sarcoidosisGCST90503482htsv,GCST90503482,TRUE,TRUE,Sarcoidosis,D3_SARCOIDOSIS,0.009,0.004,0.018,-0.029
Schizophrenia,schizophrenia,Neuropsychiatric,scz,"",TRUE,TRUE,Schizophrenia,F5_SCHZPHR,0.022,-0.003,0.061,-0.078
Sepsis,sepsis,Immune / Inflammatory,Sepsis,GCST90451676,TRUE,TRUE,Sepsis,"",0.008,0.01,0.181,0.126
Skin Cancer,skincancer,Cancers,skincancer,GCST90137411,TRUE,TRUE,Skin_Cancer,"",-0.015,0.004,-0.01,0.062
Stroke,stroke,Cardiovascular,stroke,"",TRUE,TRUE,Stroke,C_STROKE,0.026,0.029,0.178,0.239
Systemic Lupus Erythematosus,systemiclupuserythematosus,Immune / Inflammatory,SLE,"",TRUE,TRUE,Systemic_Lupus_Erythematosus,"",-0.006,0.029,0.027,0.1
Testicular Disease,testiculardisease,Cancers,Testicular_disease,GCST90479905,FALSE,TRUE,Testicular_Disease,"",0.038,0.024,0.197,0.231
Thyroid Cancer,thyroidcancer,Cancers,thyroidcancer,GCST90399737,TRUE,TRUE,Thyroid_Cancer,"",0.004,0,-0.028,0.077
Tourette Syndrome,tourettesyndrome,Neuropsychiatric,TSTouretteSyndrome,"",TRUE,TRUE,Tourette_Syndrome,"",0.002,0.019,0.101,-0.005
Tuberculosis,tuberculosis,Immune / Inflammatory,Tuberculosis,GCST90479743,TRUE,TRUE,Tuberculosis,"",0.008,-0.002,0.153,0.038
Type 1 Diabetes,type1diabetes,Immune / Inflammatory,t1d,GCST90013791,TRUE,TRUE,Type_1_Diabetes,"",0.009,-0.013,0.036,-0.061
Type 2 Diabetes,type2diabetes,Metabolic,t2d,GCST90444202,TRUE,TRUE,Type_2_Diabetes,"",0.015,0.028,0.036,0.119
Ulcerative Colitis,ulcerativecolitis,Immune / Inflammatory,ulcerativecolitis1,GCST90018933,TRUE,TRUE,Ulcerative_Colitis,K11_UC_STRICT2,-0.002,-0.006,-0.035,0.059
Uterine Fibroids,uterinefibroids,Reproductive,Uterine_Fibroids,GCST90461957,TRUE,FALSE,Uterine_Fibroids,"",-0.024,-0.006,-0.057,0.005
Uveitis,uveitis,Immune / Inflammatory,Uveitis,GCST90018938,TRUE,TRUE,Uveitis,"",-0.028,0.005,-0.153,0.033
Varicose Veins,varicoseveins,Cardiovascular,Varicoseveins,GCST90018939,TRUE,TRUE,Varicose_Veins,I9_VARICVE,0.012,0.01,0.028,0.08
VitaminD Deficiency,vitaminddeficiency,Metabolic,Vitamin_D_Deficiency,GCST90667552,TRUE,TRUE,VitaminD_Deficiency,"",0.012,-0.002,0.102,0.045
